Daily,Weekly,Monthly,Annual
0.005646542,-0.009101314,-0.009672906,0.339944603
-0.002254792,-0.022204157,-0.010755835,0.336311349
-0.009639995,-0.021101439,-0.010780246,0.338163807
0.006248245,-0.004568826,0.004548046,0.323362667
-0.009101314,-0.004540303,-0.014831989,0.31381
-0.007456301,-0.012072581,-0.002861232,0.338103558
-0.001152074,-0.004038079,0.004021838,0.347188524
0.006892618,-0.005200821,0.008036783,0.346711933
0.006276768,-0.005165004,0.004568826,0.341854732
-0.016633593,-0.005704522,-0.002277905,0.320829643
0.000578202,0.020040751,0.008638119,0.350990804
-0.002314816,0.02342295,0.005763705,0.355691802
0.006928434,0.0149514,0.005200821,0.361241558
0.00573725,0.014281877,-0.019756598,0.357939966
0.00911168,0.011942138,-0.030789536,0.360614542
0.003960401,-0.008539762,-0.030505963,0.35746828
-0.010786366,-0.00793655,-0.033298139,0.347143498
0.006258911,0.000570613,-0.019597169,0.374550745
0.003397512,0,-0.029938909,0.363176734
-0.011370219,-0.016529302,-0.030418414,0.360173621
0.004563613,-0.00228964,-0.013237603,0.375086454
-0.002279203,-0.007426484,-0.015486401,0.3818533
0.005688297,-0.00228441,-0.013207197,0.38800998
-0.01313179,-0.004548046,-0.003409094,0.374551636
0.002869442,0.008013781,0.01539808,0.390020786
-0.00057323,-0.00057323,0.007422244,0.37894657
0.002862871,-0.002296212,0.011402632,0.348441602
0.003424661,-0.008036783,0.024845999,0.334591845
-0.000569963,-0.029490429,0.025317808,0.353021555
-0.005717568,-0.034216153,0.021433421,0.352389835
-0.002296212,-0.019103331,0.027708869,0.354091334
-0.0028777,-0.015638894,0.037782898,0.336061643
-0.018028985,-0.00984659,0.051120369,0.340580706
-0.005295688,0.004099567,0.074610864,0.358199603
0.009395254,0.01231326,0.085338395,0.372072022
0.001168224,0.008728598,0.086183058,0.373596998
0.002914604,0.009875189,0.082330268,0.374438017
-0.004082829,0.006960585,0.089046557,0.373127906
0.002918006,0.026529814,0.107404014,0.389163068
0.005810592,0.029287192,0.098694994,0.399620556
0.002314816,0.018370207,0.090240996,0.403144921
0,0.019462549,0.09109743,0.387579717
0.015486401,0.035768786,0.108361788,0.380888096
